;kamera1;kamera2;kamera1_koord;kamera2_koord;distance;duration
7801;F59;Gy1B;47.142844, 18.531573;47.474802619374, 18.852435494437;64242;2258
7802;F59;Gy1J;47.142844, 18.531573;47.471964836026, 18.858080126141;64771;2276
7803;F59;Gy2B;47.142844, 18.531573;47.612770144674, 18.353556331481;102025;3408
7804;F59;Gy2J;47.142844, 18.531573;47.683114431378, 18.003415637292;88441;4376
7805;F59;Gy3B;47.142844, 18.531573;47.684437713539, 17.835527389107;96036;4473
7806;F59;Gy3J;47.142844, 18.531573;47.6844259551, 17.83587320896;96010;4473
7807;F59;Gy4B;47.142844, 18.531573;47.878391089477, 17.202565947927;136537;6240
7808;F59;Gy4J;47.142844, 18.531573;47.878249198926, 17.20284198652;136511;6240
7809;F59;Gy6B;47.142844, 18.531573;47.602227193286, 19.283884218405;115613;3978
7810;F59;Gy6J;47.142844, 18.531573;47.593511108609, 19.210992980928;83266;3828
7811;F59;Gy7B;47.142844, 18.531573;47.731817779639, 19.96258985111;187230;6226
7812;F59;Gy7J;47.142844, 18.531573;47.732635548066, 19.949321966416;162526;5410
7813;F59;Gy8B;47.142844, 18.531573;47.848589776483, 21.067835868077;254220;8190
7814;F59;Gy8J;47.142844, 18.531573;47.861450724727, 21.043855642447;251916;8116
7815;F59;Gy9B;47.142844, 18.531573;47.902948731815, 21.569037024339;315704;10179
7816;F59;Gy9J;47.142844, 18.531573;47.899315872821, 21.548572633098;298538;9558
7817;F59;Gy10B;47.142844, 18.531573;48.050402819184, 20.851648270691;256922;8293
7818;F59;Gy10J;47.142844, 18.531573;48.048597304585, 20.852645963515;256707;8286
7819;F59;Gy11B;47.142844, 18.531573;47.618814282026, 21.517286368554;300314;9622
7820;F59;Gy11J;47.142844, 18.531573;47.61860051674, 21.517389377156;300339;9623
7821;F59;Gy12B;47.142844, 18.531573;46.28526689547, 20.25356092992;230297;7569
7822;F59;Gy13B;47.142844, 18.531573;47.310577659191, 19.2720015943;83316;2833
7823;F59;Gy13J;47.142844, 18.531573;47.310726596496, 19.271736511801;83290;2832
7824;F59;Gy14B;47.142844, 18.531573;47.018953622415, 19.59270077956;124218;4146
7825;F59;Gy14J;47.142844, 18.531573;47.018760105536, 19.59289269823;124244;4147
7826;F59;Gy15B;47.142844, 18.531573;46.866126652938, 19.645370179317;147548;4965
7827;F59;Gy15J;47.142844, 18.531573;46.866126652938, 19.645370179317;147548;4965
7828;F59;Gy16B;47.142844, 18.531573;46.254056752729, 20.037780560567;218716;7145
7829;F59;Gy16J;47.142844, 18.531573;46.254289780273, 20.037809455218;218690;7145
7830;F59;Gy17B;47.142844, 18.531573;47.354805101314, 18.903312087371;49123;1917
7831;F59;Gy17J;47.142844, 18.531573;47.354584280523, 18.903248756673;49148;1917
7832;F59;Gy18B;47.142844, 18.531573;47.062438439262, 18.883476038175;35677;1524
7833;F59;Gy18J;47.142844, 18.531573;47.062224216813, 18.883576090608;35702;1525
7834;F59;Gy19B;47.142844, 18.531573;46.445983362048, 18.706391141658;102115;3514
7835;F59;Gy19J;47.142844, 18.531573;46.445546354166, 18.706516762083;102165;3515
7836;F59;Gy20B;47.142844, 18.531573;46.063865148399, 18.579774412582;167710;5632
7837;F59;Gy20J;47.142844, 18.531573;46.063700607621, 18.579535592077;167685;5631
7838;F59;Gy21B;47.142844, 18.531573;47.423027828361, 18.886551751725;54684;1856
7839;F59;Gy21J;47.142844, 18.531573;47.343748133722, 18.791711071512;36598;1224
7840;F59;Gy22B;47.142844, 18.531573;47.031256467729, 18.270258885827;28910;1022
7841;F59;Gy22J;47.142844, 18.531573;47.031397673561, 18.270531556193;28884;1022
7842;F59;Gy23B;47.142844, 18.531573;46.810132410668, 17.83695083105;78883;2649
7843;F59;Gy23J;47.142844, 18.531573;46.881273600414, 17.985593118956;57432;1907
