kamera1;kamera2;kamera1_koord;kamera2_koord
F11;F10;46.974156304231, 16.379539316509;46.437667890627, 16.747927021544
F11;F11;46.974156304231, 16.379539316509;46.974156304231, 16.379539316509
F11;F13;46.974156304231, 16.379539316509;47.683196594979, 18.097306861786
F11;F14;46.974156304231, 16.379539316509;47.745363022052, 17.647400881226
F11;F3;46.974156304231, 16.379539316509;47.884396938888, 17.241676802774
F11;F30;46.974156304231, 16.379539316509;46.803526155586, 18.928004380753
F11;F32;46.974156304231, 16.379539316509;46.201513590529, 18.820681199919
F11;F35;46.974156304231, 16.379539316509;46.058445164555, 17.448098903741
F11;F36;46.974156304231, 16.379539316509;46.702458506694, 16.788524126318
F11;F37;46.974156304231, 16.379539316509;47.635056880418, 16.652330516763
F11;F38;46.974156304231, 16.379539316509;46.811901582638, 16.565857119342
F11;F39;46.974156304231, 16.379539316509;47.288863417887, 16.610039047667
F11;F40;46.974156304231, 16.379539316509;47.245496499058, 16.534248410882
F11;F45BJ;46.974156304231, 16.379539316509;47.11432337191, 17.848645761646
F11;F46B;46.974156304231, 16.379539316509;47.653403571486, 17.416396700878
F11;F47B;46.974156304231, 16.379539316509;47.297160417543, 16.832093255331
F11;F47J;46.974156304231, 16.379539316509;47.297002459483, 16.831835285078
F11;F48;46.974156304231, 16.379539316509;48.0530521654, 19.0114679159
F11;F56;46.974156304231, 16.379539316509;47.4059475850, 16.5285647459
F11;F57;46.974156304231, 16.379539316509;47.2476159053, 16.4811625856
F11;F59;46.974156304231, 16.379539316509;47.142844, 18.531573
F11;F9;46.974156304231, 16.379539316509;45.967191886124, 17.524083222114
F11;Gy19B;46.974156304231, 16.379539316509;46.445983362048, 18.706391141658
F11;Gy20B;46.974156304231, 16.379539316509;46.063865148399, 18.579774412582
F11;Gy23B;46.974156304231, 16.379539316509;46.810132410668, 17.83695083105
F11;Gy24B;46.974156304231, 16.379539316509;46.682081838166, 17.370049702348
F11;Gy25B;46.974156304231, 16.379539316509;46.44171667261, 16.810656899812
F11;Gy25J;46.974156304231, 16.379539316509;46.441965611122, 16.811198315858
F11;Gy28B;46.974156304231, 16.379539316509;47.246161, 18.649078
F11;Gy32J;46.974156304231, 16.379539316509;47.362003, 19.222118
F11;Gy34B;46.974156304231, 16.379539316509;47.9170992883, 17.1225847247
F11;Gy34J;46.974156304231, 16.379539316509;47.9105799674, 17.1336359154
F11;Gy36B;46.974156304231, 16.379539316509;46.5109208466, 16.5523413490
F11;Gy3B;46.974156304231, 16.379539316509;47.684437713539, 17.835527389107
F11;Gy4B;46.974156304231, 16.379539316509;47.878391089477, 17.202565947927
F12;F1;47.82243068262, 18.98717170425;47.736861467104, 18.369289524965
F12;F12;47.82243068262, 18.98717170425;47.82243068262, 18.98717170425
F12;F13;47.82243068262, 18.98717170425;47.683196594979, 18.097306861786
F12;F14;47.82243068262, 18.98717170425;47.745363022052, 17.647400881226
F12;F18;47.82243068262, 18.98717170425;47.60481625158, 20.779148307593
F12;F2;47.82243068262, 18.98717170425;47.725765423977, 18.046694497329
F12;F4;47.82243068262, 18.98717170425;47.934507652422, 19.139606641347
F12;F41;47.82243068262, 18.98717170425;47.910361887547, 17.251715607309
F12;F45BJ;47.82243068262, 18.98717170425;47.11432337191, 17.848645761646
F12;F48;47.82243068262, 18.98717170425;48.0530521654, 19.0114679159
F12;F50;47.82243068262, 18.98717170425;48.0690258518, 19.2623480794
F12;F51;47.82243068262, 18.98717170425;48.0794121975, 19.3191435939
F12;F55;47.82243068262, 18.98717170425;47.3981145129, 19.3601850460
F12;F58;47.82243068262, 18.98717170425;47.348734, 19.120951
F12;Gy13B;47.82243068262, 18.98717170425;47.310577659191, 19.2720015943
F12;Gy13J;47.82243068262, 18.98717170425;47.310726596496, 19.271736511801
F12;Gy14J;47.82243068262, 18.98717170425;47.018760105536, 19.59289269823
F12;Gy18J;47.82243068262, 18.98717170425;47.062224216813, 18.883576090608
F12;Gy1B;47.82243068262, 18.98717170425;47.474802619374, 18.852435494437
F12;Gy1J;47.82243068262, 18.98717170425;47.471964836026, 18.858080126141
F12;Gy21B;47.82243068262, 18.98717170425;47.423027828361, 18.886551751725
F12;Gy21J;47.82243068262, 18.98717170425;47.343748133722, 18.791711071512
